epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4448.85,1.07149,1.55153,1.29229,0.66051,0.65989,0.7152,0.51038,0.88606,1.08888,1.13323,0.000415771,0.000415771,0.000415771
2,7992.92,1.01648,1.05564,1.22237,0.89497,0.72983,0.82497,0.59135,0.97441,0.85848,1.19883,0.000777496,0.000777496,0.000777496
